feature,importance
Bathroom,0.32192419366832536
City_Mumbai,0.2435346342331113
Size,0.08361647845003956
Log_Size,0.07517247088808168
Size_Squared,0.07212999704452193
Size_per_BHK,0.04161960731747879
Total_Floors,0.024788246722708313
Floor_Ratio,0.02435867362870274
Point of Contact_Contact Agent,0.016737573613489817
Floor_Number,0.016401931312736876
Point of Contact_Contact Owner,0.014436435974466626
City_Delhi,0.00794861368613595
Furnishing Status_Furnished,0.006999954294905707
Room_Bathroom_Ratio,0.004797952250794734
BHK,0.004759783541574959
Area Locality_Bandra West,0.00468599592647625
Area Locality_Defence Colony,0.004135853997118846
Furnishing Status_Unfurnished,0.0038038880366823087
Tenant Preferred_Bachelors,0.0031159625163081606
Area Type_Super Area,0.0030408649413888535
Furnishing Status_Semi-Furnished,0.0029808527610860223
City_Hyderabad,0.0028605779803608715
Tenant Preferred_Bachelors/Family,0.0024770829754265263
Area Type_Carpet Area,0.0022440260133293867
City_Chennai,0.0017974471360808178
Tenant Preferred_Family,0.0017764608267367135
"Area Locality_Safdarjung Development Area, Hauz Khas",0.0010315142199134554
City_Bangalore,0.0009467427457789384
City_Kolkata,0.0007534780166647049
Area Locality_Khar West,0.0006514673516253957
Is_Ground,0.00043675332888417934
Area Locality_Chembur,0.000434003170415518
Area Locality_Safdarjung Enclave,0.0002600683258135474
Area Locality_Alwarpet,0.00022844298714841285
"Area Locality_Lodha The Park, Worli",0.00022609783501568122
"Area Locality_Hiranandani Atlantis, Hiranandani Gardens",0.00020267662084498623
Area Locality_Breach Candy,0.00017641579505989165
"Area Locality_AGCR Enclave, Anand Vihar",0.00015648852634400656
Area Locality_Hebbal,0.00014657521283638648
Area Locality_Gachibowli,0.00012800610211999316
Area Locality_T Nagar,9.960826512808729e-05
Area Locality_Madipakkam,9.724808755122765e-05
Area Locality_Santacruz West,9.532625572339049e-05
Area Locality_Union Park,9.087310493694331e-05
"Area Locality_Nakoda Heights, Nalasopara",7.766178720231134e-05
"Area Locality_Shivalik, Malviya Nagar",6.928333330977998e-05
"Area Locality_Hiranandani Castle Rock, Hiranandani Gardens",5.702239315762539e-05
Area Locality_Andheri West,5.5442109523186536e-05
Area Locality_Lajpat Nagar 3,5.290561893226401e-05
Area Locality_Vasant Kunj,4.753975520209552e-05
Area Locality_Greater Kailash 2,4.5309130218862456e-05
"Area Locality_Lodha Bellissimo, Mahalakshmi",4.527472425495398e-05
"Area Locality_Godrej The Trees, Vikhroli East",4.069306932323609e-05
"Area Locality_L&T Emerald Isle, Powai",4.014242911448083e-05
"Area Locality_Dollars Colony-Rmv Extension Stage 2, RMV Extension Stage 2",3.7289348429583e-05
Area Locality_JVPD Scheme,3.7116472484114545e-05
"Area Locality_Vittal Rao Nagar, Hitech City",3.639273391252865e-05
Area Locality_Teynampet,3.2453616527898405e-05
Area Locality_Velachery,3.1601185919512795e-05
"Area Locality_Adyar, Sardar Patel Road",3.1546968752076373e-05
Area Locality_Nandanam Extension,3.137767460708553e-05
"Area Locality_Salvation CHS, Dadar West",2.9300564412191067e-05
"Area Locality_Saini Enclave, Anand Vihar",2.893031886780626e-05
Area Locality_Greater Kailash 1,2.868196289354994e-05
Area Locality_Mira Road,2.7507673976312313e-05
Area Locality_Laxmi Nagar,2.3933444979899288e-05
"Area Locality_Oberoi Esquire, Goregaon East",2.3647193361107795e-05
Area Locality_Sarvodaya Enclave,2.2185105367908973e-05
