feature,importance
Bathroom,0.2931066265301951
Area Locality_Marathahalli,0.1949434773360175
City_Mumbai,0.13899906635156384
Log_Size,0.11111369674808237
Size,0.09549598431848644
Size_per_BHK,0.04447216908090672
Total_Floors,0.026788158106418044
Floor_Number,0.016076910361899552
Point of Contact_Contact Agent,0.009902237251234468
Tenant Preferred_Bachelors,0.008679128668037227
City_Delhi,0.007073968172990801
Point of Contact_Contact Owner,0.006844013769007156
Area Locality_Khar West,0.006295711418303095
Tenant Preferred_Bachelors/Family,0.004809365907399304
Room_Bathroom_Ratio,0.003621919895287444
Furnishing Status_Furnished,0.003551292630460758
BHK,0.0031466703558204155
Furnishing Status_Unfurnished,0.0031200389288034073
Area Type_Carpet Area,0.002842233343817601
Furnishing Status_Semi-Furnished,0.0021522167414594496
City_Bangalore,0.002126232090880805
City_Chennai,0.002054678376588031
Area Type_Super Area,0.0019283391249588428
Area Locality_Anand Niketan,0.0018256230531811066
Area Locality_Defence Colony,0.001570361181643489
Area Locality_Bandra West,0.0014342101767439786
Area Locality_Rajajinagar,0.0012242637710128512
Tenant Preferred_Family,0.0011921340118825003
City_Hyderabad,0.0006863763177301015
Area Locality_Greater Kailash 1,0.00038375528294679333
"Area Locality_Runwal Elegante, Andheri West",0.00025532748974450766
City_Kolkata,0.00025417703616708676
Area Locality_JVPD Scheme,0.00018201861739352104
Area Locality_Vasant Kunj,0.00016414673872090088
Area Locality_Safdarjung Enclave,0.00013578833450591051
"Area Locality_Lodha The Park, Worli",0.0001278198093798685
Area Locality_Alwarpet,0.00010820927483519824
Area Locality_Chembur,8.326440254450906e-05
"Area Locality_Pushpanjali, Anand Vihar",8.162479940138302e-05
"Area Locality_Lodha Bellissimo, Mahalakshmi",7.841349792950723e-05
Area Locality_Breach Candy,6.141966802174921e-05
"Area Locality_Safdarjung Development Area, Hauz Khas",6.09775929382347e-05
Area Locality_Santacruz West,5.717490034947708e-05
"Area Locality_Trump Tower, Worli",4.976544405084339e-05
Area Locality_Madipakkam,4.72026757265613e-05
"Area Locality_Oberoi Splendor Grande, Agarkar Chowk",4.5474028808635136e-05
Area Locality_Gachibowli,4.4572252857933627e-05
"Area Locality_Shivalik, Malviya Nagar",4.3851418778044764e-05
"Area Locality_Nakoda Heights, Nalasopara",3.704930516153112e-05
"Area Locality_Hiranandani Regent Hill, Powai",3.6589168220642384e-05
Area Locality_Juhu,2.5532137335655393e-05
Area Locality_Rajouri Garden,2.4713840837372252e-05
Area Locality_Andheri West,2.390076978106763e-05
Area Locality_T Nagar,2.318996830302381e-05
"Area Locality_Indiabulls Blu, Worli",2.02546379163155e-05
Area Locality_Pitampura,1.7440229466780744e-05
