feature,importance
Bathroom,0.3090132744704721
City_Mumbai,0.23580834553202681
Size,0.07764498440001298
Size_Squared,0.07330255288672057
Log_Size,0.06785949284781838
Size_per_BHK,0.03355627734102404
Total_Floors,0.017302439130093116
Floor_Ratio,0.01657698255804804
Point of Contact_Contact Agent,0.014306340778397375
Floor_Number,0.013996867344615657
Point of Contact_Contact Owner,0.01240567062612568
Area Locality_Defence Colony,0.007034338155736173
Area Locality_Bandra West,0.00546284975607052
City_Delhi,0.00493919116941467
BHK,0.0046032336529112814
"Area Locality_Avenue S, Santoshpur",0.0043772172253472175
Area Locality_Greater Kailash 1,0.004323256908204697
Furnishing Status_Furnished,0.004258800125805546
Room_Bathroom_Ratio,0.003957281811115304
Furnishing Status_Unfurnished,0.003902254974329795
Tenant Preferred_Bachelors,0.002582331235816825
"Area Locality_Safdarjung Development Area, Hauz Khas",0.0025442872327363537
Area Locality_Safdarjung Enclave,0.0024349517805306474
Area Locality_Lal Darwaza,0.0023375028241817844
Area Type_Carpet Area,0.002226827331668192
City_Hyderabad,0.0021995204916334227
"Area Locality_Benchmark Solus, Waterfield Road",0.002118127699398809
Area Type_Super Area,0.001977004846282608
Tenant Preferred_Bachelors/Family,0.0019734867943666983
Furnishing Status_Semi-Furnished,0.0018574695191306044
Area Locality_Mylapore,0.0017427809147247378
Area Locality_Panchsheel Park,0.0016305638028756369
Tenant Preferred_Family,0.0015117232383040267
"Area Locality_Auris Serenity, Malad West",0.001413910735369939
"Area Locality_Sabari Palm View, Chembur",0.0013748503881079936
Area Locality_Khar West,0.001360506294150371
Area Locality_Shanti Niketan,0.0013321379287812604
Area Locality_Raja Annamalai Puram,0.0012736134270542262
Area Locality_T Nagar,0.0012720569129026037
Area Locality_Union Park,0.0012568837789089912
Area Locality_Malabar Hill,0.0012279258455382268
Area Locality_parivar safalya chs,0.0011302567273423307
City_Chennai,0.0010638613793536383
Area Locality_Cuffe Parade,0.0010285500443418497
"Area Locality_Maharani Bagh, New Friends Colony",0.0009171351796504379
Area Locality_Nungambakkam,0.0009020407099833746
Area Locality_Rajajinagar,0.0008713609916983074
"Area Locality_Violette Valley, Bandra West",0.0007532381954884433
"Area Locality_Lodha The Park, Worli",0.0006417141822117748
"Area Locality_Marathon Next Gen Era, Lower Parel",0.0006193030226192522
Area Locality_Vasant Vihar,0.0006137540246706103
Area Locality_Nagarabhavi BDA complex,0.0005902627261167091
"Area Locality_Badrinath Tower, Amit Nagar",0.0005549017998901341
Area Locality_Vasant Kunj,0.000541158336291385
